release_date,movie,production_budget,domestic_gross,genres,studio,foreign_gross,domestic_ROI_percent,domestic_Profit
2013-02-26,TaoJie,5400000,0,,,,0.0,-5400000
2013-07-19,Grabbers,5300000,0,,,,0.0,-5300000
2013-10-11,LaViedAdÃ¨leâChapitres12,5250000,2450504,,,,46.67626666666666,-2799496
2012-04-27,Hodejegerne,5250000,1200010,,,,22.857333333333333,-4049990
2017-02-24,TheGirlwithalltheGifts,5250000,0,,,,0.0,-5250000
2011-04-22,DumMaaroDum,5200000,564489,,FoxS,,10.855557692307691,-4635511
2017-02-24,GetOut,5000000,176040665,"Horror,Mystery,Thriller",Uni.,79400000,3520.8133,171040665
2017-01-20,Split,5000000,138141585,"Horror,Thriller",Uni.,140200000,2762.8316999999997,133141585
2011-10-21,ParanormalActivity3,5000000,104028807,,Par.,103000000,2080.57614,99028807
2013-09-13,InsidiousChapter2,5000000,83586447,"Horror,Mystery,Thriller",FD,78300000,1671.72894,78586447
2016-03-11,10CloverfieldLane,5000000,72082999,"Drama,Horror,Mystery",Par.,38100000,1441.65998,67082999
2016-07-22,LightsOut,5000000,67268835,"Drama,Horror,Mystery",WB (NL),81600000,1345.3766999999998,62268835
2015-09-11,TheVisit,5000000,65206105,"Horror,Mystery,Thriller",Uni.,33200000,1304.1221,60206105
2017-10-13,HappyDeathDay,5000000,55683845,,Uni.,69800000,1113.6769,50683845
2012-10-19,ParanormalActivity4,5000000,53900335,,Par.,88900000,1078.0067000000001,48900335
2014-10-24,Ouija,5000000,50856010,,Uni.,52700000,1017.1202,45856010
2013-08-30,NoseAceptanDevoluciones,5000000,44467206,,,,889.34412,39467206
2015-08-07,TheGift,5000000,43787265,"Drama,Mystery,Thriller",,,875.7453,38787265
2017-06-23,TheBigSick,5000000,42872467,"Comedy,Drama,Romance",LGF,13500000,857.44934,37872467
2014-01-03,ParanormalActivityTheMarkedOnes,5000000,32462372,,Par.,58400000,649.24744,27462372
2014-04-11,Oculus,5000000,27695246,"Horror,Mystery",Rela.,16300000,553.90492,22695246
2013-11-01,DallasBuyersClub,5000000,27298285,"Biography,Drama",Focus,27900000,545.9657,22298285
2015-08-26,NoEscape,5000000,27288872,,Wein.,27100000,545.77744,22288872
2015-02-27,TheLazarusEffect,5000000,25801570,,Rela.,12600000,516.0314,20801570
2011-08-26,OurIdiotBrother,5000000,24814830,,Wein.,,496.29659999999996,19814830
2018-03-09,TheStrangersPreyatNight,5000000,24431472,,,,488.62944,19431472
2013-07-05,TheWayWayBack,5000000,21502690,"Comedy,Drama",FoxS,1700000,430.0538,16502690
2014-08-29,AsAboveSoBelow,5000000,21222315,,Uni.,20600000,424.44629999999995,16222315
2016-04-01,GodâsNotDead2,5000000,20773069,,,,415.46137999999996,15773069
2016-02-19,Race,5000000,19115191,,,,382.30382000000003,14115191
2015-01-16,StillAlice,5000000,18656400,Drama,SPC,25100000,373.128,13656400
2011-09-02,Apollo18,5000000,17686929,,W/Dim.,7900000,353.73858,12686929
2018-03-23,PaulApostleofChrist,5000000,17547999,,Affirm,5500000,350.95998000000003,12547999
2014-10-10,Addicted,5000000,17390770,,LGF,,347.8154,12390770
2013-03-15,SpringBreakers,5000000,14124286,"Comedy,Crime,Drama",A24,17600000,282.48571999999996,9124286
2017-06-09,ItComesatNight,5000000,13985117,,,,279.70234,8985117
2016-07-15,HillaryâsAmericaTheSecretHistoryoftheDemocraticParty,5000000,13099931,,,,261.99862,8099931
2017-03-03,BeforeIFall,5000000,12241072,,ORF,,244.82144,7241072
2016-01-29,FiftyShadesofBlack,5000000,11686940,,ORF,10500000,233.73879999999997,6686940
2014-05-09,MomsâNightOut,5000000,10429707,,,,208.59413999999998,5429707
2017-03-17,TheBelkoExperiment,5000000,10166820,,,,203.33640000000003,5166820
2016-03-11,ThePerfectMatch,5000000,9669521,,LGF,745000,193.39042,4669521
2018-09-21,Fahrenheit119,5000000,6352306,,,,127.04612,1352306
2010-05-28,SeaRex3DJourneytoaPrehistoricWorld,5000000,6096582,,3D,9900000,121.93164,1096582
2015-09-11,90MinutesinHeaven,5000000,4816142,,,,96.32284,-183858
2016-12-02,Incarnate,5000000,4799774,,BH Tilt,1500000,95.99548,-200226
2011-02-25,DesHommesetDesDieux,5000000,3954651,,,,79.09302,-1045349
2017-03-03,Table19,5000000,3614896,,FoxS,1400000,72.29792,-1385104
2016-04-15,GreenRoom,5000000,3220371,,A24,,64.40742,-1779629
2018-03-09,Thoroughbreds,5000000,3072605,,,,61.4521,-1927395
2016-03-04,TheOtherSideoftheDoor,5000000,3000342,,Fox,11300000,60.00684,-1999658
2011-05-13,EverythingMustGo,5000000,2712131,,RAtt.,,54.242619999999995,-2287869
2014-10-10,KilltheMessenger,5000000,2450846,,Focus,,49.016920000000006,-2549154
2010-12-17,RabbitHole,5000000,2229058,,LGF,2900000,44.58116,-2770942
2015-10-23,JemandtheHolograms,5000000,2184640,,Uni.,149000,43.6928,-2815360
2016-12-28,Paterson,5000000,2141423,,BST,,42.82846,-2858577
2014-09-12,AtlasShruggedWhoIsJohnGalt,5000000,851690,,,,17.0338,-4148310
2013-08-16,AintThemBodiesSaints,5000000,391611,,IFC,635000,7.8322199999999995,-4608389
2014-09-26,JimiAllisByMySide,5000000,340911,,,,6.81822,-4659089
2011-09-30,TuckerDalevsEvil,5000000,223838,,,,4.47676,-4776162
2015-08-07,CopCar,5000000,134552,,,,2.69104,-4865448
2010-09-10,LovelyStill,5000000,127564,,Mont.,106000,2.5512799999999998,-4872436
2014-10-17,Rudderless,5000000,56001,,Gold.,,1.12002,-4943999
2015-05-15,Area51,5000000,7556,,,,0.15112,-4992444
